Product_ID,Product_Category,Retail_Price,Seasonal,Material,Color,Units_Sold
15713,Electronics,459.67,No,Wood,Blue,89
7484,Clothing,239.95,Yes,Cotton,Yellow,86
62254,Sports,209.92,Yes,Leather,Blue,25
96232,Electronics,125.57,No,Wood,Black,91
56893,Sports,281.4,No,Cotton,Black,49
95846,Clothing,233.9,No,Leather,Yellow,78
31737,Clothing,47.35,No,Plastic,Blue,4
22704,Home & Garden,26.73,Yes,Metal,White,5
87173,Electronics,452.35,No,Wood,White,23
11885,Health,122.61,Yes,Cotton,White,45
54372,Electronics,124.26,No,Wood,Yellow,40
13084,Electronics,453.2,No,Cotton,Yellow,21
25337,Sports,96.57,No,Cotton,Black,52
88934,Electronics,20.35,No,Leather,Red,20
42324,Electronics,152.08,No,Leather,Yellow,53
54178,Sports,228.18,No,Wood,Yellow,44
29175,Health,471.3,Yes,Metal,Red,19
85272,Sports,359.31,Yes,Wood,Red,73
45374,Health,173.06,Yes,Wood,Green,42
17707,Sports,219.06,No,Cotton,Green,23
55798,Home & Garden,271.26,Yes,Leather,Black,60
45255,Electronics,276.44,No,Plastic,White,28
68960,Home & Garden,89.13,Yes,Plastic,Green,6
33431,Home & Garden,383.67,Yes,Wood,White,46
4751,Home & Garden,146.37,No,Metal,Green,90
1300,Sports,399.02,Yes,Leather,White,67
84615,Home & Garden,101.41,Yes,Cotton,Red,14
5057,Electronics,460.31,No,Cotton,Yellow,48
19916,Sports,158.95,Yes,Plastic,Green,24
28476,Home & Garden,228.23,Yes,Cotton,Blue,82
77176,Clothing,458.27,No,Metal,Black,4
55918,Sports,447.31,No,Wood,Green,68
45424,Health,65.11,No,Leather,Black,89
57383,Sports,183.8,No,Leather,Red,87
99116,Sports,189.67,No,Metal,Red,66
28498,Home & Garden,299.04,Yes,Wood,Green,68
98973,Clothing,304.64,No,Wood,Green,70
25007,Electronics,316.39,No,Leather,Blue,32
79206,Sports,75.2,Yes,Cotton,Blue,85
73793,Sports,19.67,No,Metal,Black,71
67194,Electronics,124.47,No,Wood,Yellow,75
59134,Electronics,401.37,Yes,Leather,Red,35
43442,Home & Garden,401.57,Yes,Cotton,Blue,51
94207,Sports,441.53,No,Leather,Yellow,95
29204,Home & Garden,76.72,No,Wood,Yellow,37
12220,Home & Garden,414.38,No,Cotton,Yellow,1
33793,Electronics,97.56,Yes,Leather,Green,3
